,FGM,FGA
2016Anthony Brown,2,3
2016Aaron Brooks,8,44
2016Corey Brewer,23,63
2016Elton Brand,3,3
2016Avery Bradley,27,57
2016Chris Bosh,37,59
2016Trevor Booker,25,26
2016Devin Booker,139,443
2016Matt Bonner,1,1
2016Andrew Bogut,55,68
2016Bojan Bogdanovic,23,61
2016Eric Bledsoe,2,4
2016Steve Blake,0,0
2016DeJuan Blair,1,1
2016Tarik Black,6,9
2016Nemanja Bjelica,4,4
2016Bismack Biyombo,42,48
2016Patrick Beverley,8,15
2016Anthony Bennett,0,1
2016Marco Belinelli,10,15
2016Michael Beasley,16,24
2016Bradley Beal,17,64
2016Kent Bazemore,20,45
2016Aron Baynes,27,30
2016Jerryd Bayless,8,27
2016Nicolas Batum,8,10
2016Brandon Bass,44,48
2016Will Barton,36,85
2016Matt Barnes,28,65
2016Harrison Barnes,21,55
2016Andrea Bargnani,7,9
2016Leandro Barbosa,0,1
2016Luke Babbitt,11,15
2016Jeff Ayres,0,0
2016Omer Asik,1,16
2016Darrell Arthur,8,28
2016Tyler Zeller,10,11
2016Cody Zeller,44,50
2016Thaddeus Young,91,164
2016Nick Young,0,0
2016Joe Young,13,33
2016James Young,0,0
2016Delon Wright,2,2
2016Brandan Wright,5,7
2016Metta World Peace,1,2
2016Christian Wood,1,2
2016Jeff Withey,0,0
2016Justise Winslow,9,10
2016Mo Williams,1,1
2016Marvin Williams,7,9
2016Lou Williams,2,3
2016Derrick Williams,25,30
2016Deron Williams,108,364
2016Alan Williams,0,0
2016Andrew Wiggins,49,124
2016Hassan Whiteside,123,128
2016Russell Westbrook,46,135
2016David West,8,10
2016Sonny Weems,0,0
2016Briante Weber,0,0
2016John Wall,24,131
2016Kemba Walker,35,115
2016Dion Waiters,108,340
2016Dwyane Wade,12,13
2016Sasha Vujacic,10,15
2016Nikola Vucevic,43,82
2016Noah Vonleh,13,34
2016Charlie Villanueva,0,0
2016Rashad Vaughn,0,1
2016Greivis Vasquez,4,13
2016Anderson Varejao,0,0
2016Jonas Valanciunas,57,89
2016Beno Udrih,0,1
2016Myles Turner,40,60
2016Evan Turner,2,3
2016Karl-Anthony Towns,72,146
2016Axel Toupane,0,0
2016Anthony Tolliver,6,13
2016Marcus Thornton,23,54
2016Tristan Thompson,68,75
2016Klay Thompson,239,724
2016Jason Thompson,4,4
2016Hollis Thompson,12,33
2016Lance Thomas,5,5
2016Isaiah Thomas,157,535
2016Jason Terry,94,278
2016Garrett Temple,2,3
2016Mirza Teletovic,23,37
2016Jeff Teague,28,76
2016Edy Tavares,1,2
2016Jared Sullinger,50,111
2016Rodney Stuckey,9,23
2016Amar'e Stoudemire,22,23
2016Alex Stepheson,2,4
2016Lance Stephenson,20,46
2016Nik Stauskas,8,49
2016Tiago Splitter,1,2
2016Marreese Speights,5,9
2016Tony Snell,73,223
2016Russ Smith,0,0
2016Josh Smith,0,4
2016Jason Smith,12,29
2016JR Smith,5,15
2016Ish Smith,5,8
2016Greg Smith,2,2
2016Marcus Smart,62,287
2016Donald Sloan,4,26
2016Kyle Singler,4,4
2016Henry Sims,1,2
2016Jonathon Simmons,9,12
2016Iman Shumpert,1,4
2016Ramon Sessions,2,2
2016Kevin Seraphin,0,2
2016Thabo Sefolosha,13,28
2016Mike Scott,2,6
2016Luis Scola,1,1
2016Dennis Schroder,66,155
2016JaKarr Sampson,3,4
2016Robert Sacre,1,1
2016D'Angelo Russell,1,1
2016Brandon Rush,4,5
2016Damjan Rudez,0,0
2016Ricky Rubio,5,12
2016Terry Rozier,0,0
2016Terrence Ross,4,5
2016Derrick Rose,26,94
2016Rajon Rondo,0,1
2016Glenn Robinson III,5,6
2016Thomas Robinson,15,18
2016Brian Roberts,0,0
2016Andre Roberson,42,70
2016Austin Rivers,0,1
2016Josh Richardson,12,25
2016Willie Reed,7,8
2016JJ Redick,283,641
2016Zach Randolph,74,130
2016Julius Randle,17,20
2016Tayshaun Prince,2,2
2016Pablo Prigioni,0,1
2016Ronnie Price,15,20
2016Norman Powell,16,27
2016Dwight Powell,17,21
2016Kristaps Porzingis,22,29
2016Bobby Portis,28,48
2016Miles Plumlee,38,67
2016Mason Plumlee,34,92
2016Tibor Pleiss,3,6
2016Paul Pierce,0,0
2016Kendrick Perkins,0,0
2016Nikola Pekovic,0,0
2016Elfrid Payton,48,109
2016Cameron Payne,1,1
2016Adreian Payne,5,6
2016Chris Paul,199,588
2016Patrick Patterson,4,9
2016Lamar Patterson,0,0
2016Chandler Parsons,19,34
2016Tony Parker,1,1
2016Jabari Parker,40,131
2016Kostas Papanikolaou,0,0
2016Zaza Pachulia,35,70
2016Kelly Olynyk,3,3
2016Victor Oladipo,139,440
2016Jahlil Okafor,12,18
2016Kyle O'Quinn,5,5
2016Johnny O'Bryant III,2,3
2016Jusuf Nurkic,0,3
2016Dirk Nowitzki,270,672
2016Lucas Nogueira,8,8
2016Nerlens Noel,66,120
2016Joakim Noah,5,5
2016Andrew Nicholson,9,10
2016Raul Neto,0,0
2016Nene,25,63
2016Jameer Nelson,1,1
2016Gary Neal,26,36
2016Shabazz Napier,1,1
2016Mike Muscala,0,0
2016Xavier Munford,1,7
2016Shabazz Muhammad,24,25
2016Emmanuel Mudiay,18,91
2016Timofey Mozgov,44,79
2016Donatas Motiejunas,0,0
2016Anthony Morrow,3,9
2016Markieff Morris,26,31
2016E'Twaun Moore,10,21
2016Greg Monroe,127,264
2016Nikola Mirotic,151,420
2016Paul Millsap,63,120
2016Elijah Millsap,0,0
2016Patty Mills,15,26
2016Mike Miller,0,2
2016Andre Miller,1,1
2016CJ Miles,9,25
2016Khris Middleton,15,50
2016Jordan Mickey,0,0
2016Salah Mejri,8,17
2016Jodie Meeks,5,14
2016Josh McRoberts,4,4
2016Jordan McRae,0,1
2016Ben McLemore,9,19
2016JaVale McGee,38,40
2016Mitch McGary,1,1
2016Doug McDermott,21,48
2016KJ McDaniels,2,4
2016Chris McCullough,5,7
2016CJ McCollum,222,661
2016Ray McCallum,1,4
2016James Michael McAdoo,2,3
2016Luc Mbah a Moute,26,61
2016Wesley Matthews,186,535
2016Kevin Martin,9,19
2016Jarell Martin,1,1
2016Kendall Marshall,0,0
2016Boban Marjanovic,19,22
2016Devyn Marble,0,0
2016Ian Mahinmi,22,74
2016Shelvin Mack,16,36
2016Trey Lyles,4,5
2016Kyle Lowry,21,67
2016Kevin Love,35,75
2016Robin Lopez,30,31
2016Brook Lopez,86,145
2016Shaun Livingston,29,94
2016Jeremy Lin,29,89
2016Damian Lillard,178,610
2016Jon Leuer,24,44
2016Meyers Leonard,4,6
2016Kawhi Leonard,23,25
2016Alex Len,73,249
2016David Lee,7,8
2016Courtney Lee,20,40
2016Ty Lawson,6,23
2016Joffrey Lauvergne,20,24
2016Shane Larkin,16,46
2016Carl Landry,2,4
2016Jeremy Lamb,18,46
2016Zach LaVine,26,69
2016Kosta Koufos,2,3
2016Kyle Korver,4,7
2016Brandon Knight,19,52
2016Sean Kilpatrick,7,9
2016Michael Kidd-Gilchrist,0,0
2016Ryan Kelly,4,7
2016Sasha Kaun,0,1
2016Sergey Karasev,3,7
2016Frank Kaminsky,34,95
2016Chris Kaman,2,3
2016Cory Joseph,15,46
2016DeAndre Jordan,120,158
2016Tyus Jones,5,10
2016Terrence Jones,28,65
2016James Jones,1,1
2016Nikola Jokic,62,117
2016Wesley Johnson,17,33
2016Tyler Johnson,0,0
2016Stanley Johnson,1,2
2016Orlando Johnson,0,0
2016Joe Johnson,1,1
2016James Johnson,9,14
2016Chris Johnson,0,0
2016Amir Johnson,20,77
2016Jonas Jerebko,13,42
2016Brandon Jennings,6,18
2016John Jenkins,0,1
2016Richard Jefferson,6,12
2016Cory Jefferson,2,10
2016Al Jefferson,0,0
2016LeBron James,91,166
2016Reggie Jackson,2,3
2016Jarrett Jack,31,58
2016Kyrie Irving,11,43
2016Damien Inglis,0,0
2016Joe Ingles,6,9
2016Ersan Ilyasova,1,2
2016Andre Iguodala,20,21
2016Serge Ibaka,34,65
2016RJ Hunter,0,0
2016Kris Humphries,4,13
2016Josh Huestis,0,0
2016Marcelo Huertas,0,0
2016Dwight Howard,131,144
2016Al Horford,81,111
2016Rodney Hood,3,5
2016Richaun Holmes,8,9
2016Rondae Hollis-Jefferson,8,11
2016Ryan Hollins,12,16
2016Justin Holiday,8,18
2016Jrue Holiday,0,2
2016Kirk Hinrich,1,1
2016Darrun Hilliard,4,5
2016Solomon Hill,6,6
2016Jordan Hill,37,77
2016George Hill,133,391
2016JJ Hickson,3,3
2016Roy Hibbert,18,20
2016Mario Hezonja,92,265
2016John Henson,41,66
2016Gerald Henderson,12,20
2016Gordon Hayward,16,22
2016Spencer Hawes,7,7
2016Udonis Haslem,0,0
2016Aaron Harrison,3,15
2016Tobias Harris,15,17
2016Gary Harris,132,381
2016Devin Harris,16,28
2016Montrezl Harrell,3,3
2016Maurice Harkless,24,48
2016James Harden,196,625
2016Tyler Hansbrough,0,0
2016Jordan Hamilton,2,2
2016PJ Hairston,2,4
2016Jorge Gutierrez,0,0
2016Blake Griffin,121,311
2016Jeff Green,26,63
2016JaMychal Green,18,27
2016Gerald Green,7,21
2016Erick Green,0,0
2016Draymond Green,73,262
2016Danny Green,3,6
2016Jerian Grant,5,13
2016Jerami Grant,34,108
2016Andrew Goudelock,2,6
2016Marcin Gortat,76,155
2016Eric Gordon,1,3
2016Aaron Gordon,75,241
2016Archie Goodwin,3,3
2016Drew Gooden,0,0
2016Rudy Gobert,22,24
2016Manu Ginobili,13,29
2016Taj Gibson,43,46
2016Paul George,277,820
2016Alonzo Gee,27,96
2016Rudy Gay,61,117
2016Pau Gasol,235,554
2016Marc Gasol,7,9
2016Kevin Garnett,0,0
2016Langston Galloway,1,1
2016Danilo Gallinari,133,368
2016Channing Frye,6,11
2016Enes Freedom,114,208
2016Tim Frazier,16,31
2016Randy Foye,1,1
2016Evan Fournier,37,82
2016Raymond Felton,65,274
2016Cristiano Felicio,1,2
2016Derrick Favors,52,54
2016Jordan Farmar,0,0
2016Kenneth Faried,48,130
2016Festus Ezeli,41,48
2016Tyreke Evans,0,1
2016Jeremy Evans,4,5
2016James Ennis III,1,1
2016Tyler Ennis,12,22
2016Monta Ellis,125,455
2016Wayne Ellington,7,20
2016Jarell Eddie,1,2
2016Cleanthony Early,0,0
2016Kevin Durant,38,74
2017Ivica Zubac,9,12
2017Paul Zipser,9,16
2017Stephen Zimmerman,1,3
2017Tyler Zeller,18,55
2017Cody Zeller,33,90
2017Thaddeus Young,83,228
2017Nick Young,1,1
2017Joe Young,0,0
2017James Young,1,3
2017Delon Wright,2,3
2017Brandan Wright,15,17
2017Metta World Peace,0,0
2017Christian Wood,0,1
2017Jeff Withey,3,4
2017Justise Winslow,1,1
2017Troy Williams,5,7
2017Reggie Williams,0,0
2017Marvin Williams,1,1
2017Lou Williams,17,57
2017Derrick Williams,11,13
2017Deron Williams,2,2
2017Alan Williams,0,0
2017Andrew Wiggins,65,139
2017Hassan Whiteside,141,317
2017Isaiah Whitehead,2,3
2017Okaro White,1,1
2017Russell Westbrook,34,117
2017David West,4,4
2017Briante Weber,0,0
2017John Wall,14,18
2017Kemba Walker,31,142
2017Dion Waiters,12,46
2017Dwyane Wade,34,79
2017Sasha Vujacic,0,0
2017Nikola Vucevic,29,53
2017Noah Vonleh,13,36
2017Rashad Vaughn,0,0
2017Greivis Vasquez,0,0
2017Anderson Varejao,1,1
2017Fred VanVleet,8,15
2017Denzel Valentine,2,8
2017Jonas Valanciunas,46,74
2017Jarrod Uthoff,0,0
2017Tyler Ulis,1,1
2017Beno Udrih,2,11
2017Myles Turner,192,499
2017Evan Turner,2,2
2017Karl-Anthony Towns,110,204
2017Axel Toupane,0,0
2017Anthony Tolliver,7,8
2017Marcus Thornton,0,0
2017Tristan Thompson,61,66
2017Klay Thompson,21,60
2017Hollis Thompson,6,21
2017Lance Thomas,4,7
2017Isaiah Thomas,203,613
2017Jason Terry,1,8
2017Garrett Temple,0,0
2017Mirza Teletovic,4,13
2017Jeff Teague,30,67
2017Isaiah Taylor,0,2
2017Jared Sullinger,0,1
2017Rodney Stuckey,3,11
2017Lance Stephenson,0,0
2017Nik Stauskas,126,389
2017Tiago Splitter,4,11
2017Marreese Speights,4,5
2017Tony Snell,14,25
2017Jason Smith,0,0
2017JR Smith,0,0
2017Ish Smith,1,1
2017Marcus Smart,111,401
2017Kyle Singler,2,2
2017Jonathon Simmons,11,16
2017Pascal Siakam,5,5
2017Iman Shumpert,3,14
2017Ramon Sessions,1,1
2017Kevin Seraphin,8,9
2017Wayne Selden,1,1
2017Thabo Sefolosha,13,29
2017Mike Scott,0,0
2017Luis Scola,0,0
2017Dennis Schroder,27,69
2017Tomas Satoransky,0,1
2017Dario Saric,144,500
2017Domantas Sabonis,14,38
2017D'Angelo Russell,0,1
2017Brandon Rush,3,3
2017Damjan Rudez,0,3
2017Ricky Rubio,1,2
2017Terry Rozier,7,35
2017Terrence Ross,5,16
2017Derrick Rose,50,154
2017Rajon Rondo,20,65
2017Sergio Rodriguez,85,305
2017Glenn Robinson III,12,13
2017Thomas Robinson,3,5
2017Brian Roberts,0,0
2017Andre Roberson,33,62
2017Austin Rivers,13,52
2017Malachi Richardson,0,1
2017Josh Richardson,7,20
2017Willie Reed,38,59
2017JJ Redick,4,10
2017Zach Randolph,62,122
2017Julius Randle,51,116
2017Chasson Randle,2,4
2017Tim Quarterman,0,1
2017Taurean Prince,5,16
2017Ronnie Price,0,0
2017Alex Poythress,1,1
2017Norman Powell,1,2
2017Dwight Powell,17,18
2017Kristaps Porzingis,40,63
2017Bobby Portis,24,37
2017Jakob Poeltl,2,2
2017Miles Plumlee,14,18
2017Mason Plumlee,60,116
2017Marshall Plumlee,1,1
2017Paul Pierce,0,0
2017Gary Payton II,0,0
2017Elfrid Payton,49,110
2017Cameron Payne,1,1
2017Adreian Payne,2,2
2017Chris Paul,6,14
2017Patrick Patterson,3,11
2017Lamar Patterson,0,1
2017Chandler Parsons,5,12
2017Tony Parker,0,3
2017Jabari Parker,30,90
2017Georgios Papagiannis,4,5
2017Zaza Pachulia,21,71
2017Chinanu Onuaku,0,0
2017Kelly Olynyk,31,46
2017Victor Oladipo,26,57
2017Jahlil Okafor,24,103
2017Daniel Ochefu,0,0
2017Kyle O'Quinn,0,1
2017Johnny O'Bryant III,1,2
2017David Nwaba,2,3
2017Jusuf Nurkic,48,121
2017Dirk Nowitzki,4,12
2017Lucas Nogueira,33,37
2017Nerlens Noel,45,63
2017Joakim Noah,20,44
2017Andrew Nicholson,0,1
2017Georges Niang,0,0
2017Raul Neto,2,4
2017Nene,34,66
2017Jameer Nelson,111,318
2017Maurice Ndour,0,0
2017Shabazz Napier,17,40
2017Mike Muscala,10,18
2017Jamal Murray,1,3
2017Dejounte Murray,3,9
2017Shabazz Muhammad,44,86
2017Emmanuel Mudiay,71,253
2017Timofey Mozgov,18,24
2017Donatas Motiejunas,1,1
2017Anthony Morrow,10,22
2017Markieff Morris,57,115
2017E'Twaun Moore,20,31
2017Greg Monroe,92,184
2017Nikola Mirotic,22,47
2017Paul Millsap,50,79
2017Patty Mills,0,0
2017Mike Miller,0,0
2017CJ Miles,183,474
2017Khris Middleton,7,17
2017Jordan Mickey,2,2
2017Salah Mejri,11,11
2017Jodie Meeks,5,13
2017Josh McRoberts,4,8
2017Jordan McRae,1,2
2017Ben McLemore,6,6
2017Rodney McGruder,84,284
2017JaVale McGee,76,93
2017Doug McDermott,20,32
2017KJ McDaniels,4,13
2017Chris McCullough,1,1
2017CJ McCollum,28,66
2017Patrick McCaw,38,136
2017James Michael McAdoo,9,13
2017Luc Mbah a Moute,24,54
2017Wesley Matthews,12,22
2017Jarell Martin,3,4
2017Boban Marjanovic,6,7
2017Thon Maker,9,12
2017Ian Mahinmi,1,1
2017Shelvin Mack,9,24
2017Sheldon Mac,0,0
2017Trey Lyles,1,1
2017Timothe Luwawu-Cabarrot,22,57
2017Kyle Lowry,17,39
2017Kevin Love,2,2
2017Robin Lopez,23,50
2017Brook Lopez,85,137
2017Kevon Looney,17,18
2017Shawn Long,1,1
2017Shaun Livingston,8,15
2017Jeremy Lin,1,1
2017Damian Lillard,55,110
2017DeAndre Liggins,8,20
2017Jon Leuer,22,25
2017Meyers Leonard,7,7
2017Kawhi Leonard,23,28
2017Alex Len,4,4
2017David Lee,1,2
2017Courtney Lee,17,39
2017Caris LeVert,62,203
2017Jake Layman,1,1
2017Ty Lawson,1,2
2017Joffrey Lauvergne,13,14
2017Nicolas Laprovittola,1,2
2017Jeremy Lamb,2,3
2017Skal Labissiere,9,10
2017Zach LaVine,14,15
2017Mindaugas Kuzminskas,1,3
2017Kosta Koufos,19,21
2017Kyle Korver,0,2
2017Brandon Knight,3,6
2017Sean Kilpatrick,22,59
2017Michael Kidd-Gilchrist,49,119
2017Ryan Kelly,0,0
2017Frank Kaminsky,35,85
2017Cory Joseph,14,33
2017DeAndre Jordan,119,154
2017Tyus Jones,0,0
2017Terrence Jones,5,5
2017James Jones,0,0
2017Damian Jones,0,0
2017Nikola Jokic,152,344
2017Wesley Johnson,4,4
2017Tyler Johnson,24,54
2017Stanley Johnson,17,32
2017Joe Johnson,18,27
2017James Johnson,33,79
2017Amir Johnson,34,63
2017Jonas Jerebko,52,156
2017Brandon Jennings,8,45
2017Richard Jefferson,14,15
2017Al Jefferson,5,5
2017LeBron James,70,121
2017Reggie Jackson,1,3
2017Pierre Jackson,0,0
2017Kyrie Irving,32,77
2017Brandon Ingram,13,54
2017Joe Ingles,8,20
2017Ersan Ilyasova,167,488
2017Andre Iguodala,6,24
2017Serge Ibaka,18,29
2017Kris Humphries,2,4
2017Marcelo Huertas,0,0
2017Dwight Howard,89,134
2017Al Horford,8,9
2017Rodney Hood,6,19
2017Richaun Holmes,47,73
2017Rondae Hollis-Jefferson,39,86
2017Justin Holiday,29,41
2017Jrue Holiday,55,129
2017Darrun Hilliard,0,0
2017Solomon Hill,27,74
2017Jordan Hill,1,3
2017George Hill,2,3
2017Buddy Hield,24,76
2017Roy Hibbert,4,6
2017Mario Hezonja,0,1
2017Willy Hernangomez,19,22
2017Juancho Hernangomez,10,25
2017John Henson,27,31
2017Gerald Henderson,12,31
2017Gordon Hayward,24,26
2017Spencer Hawes,2,4
2017Udonis Haslem,0,0
2017Andrew Harrison,45,179
2017Tobias Harris,43,78
2017Joe Harris,0,0
2017Gary Harris,24,54
2017Devin Harris,12,29
2017Montrezl Harrell,52,63
2017Maurice Harkless,51,105
2017James Harden,26,62
2017AJ Hammons,2,2
2017Justin Hamilton,25,40
2017Blake Griffin,42,107
2017Jeff Green,17,36
2017JaMychal Green,27,62
2017Gerald Green,1,1
2017Draymond Green,61,268
2017Danny Green,1,2
2017Jerian Grant,0,0
2017Jerami Grant,13,40
2017Treveon Graham,0,0
2017Marcin Gortat,12,14
2017Eric Gordon,9,37
2017Aaron Gordon,47,77
2017Archie Goodwin,3,3
2017Rudy Gobert,107,180
2017Manu Ginobili,1,1
2017Taj Gibson,65,111
2017Jonathan Gibson,1,1
2017Marcus Georges-Hunt,0,0
2017Paul George,294,792
2017Alonzo Gee,0,0
2017Rudy Gay,47,69
2017Pau Gasol,3,3
2017Marc Gasol,28,53
2017Patricio Garino,0,0
2017Langston Galloway,0,0
2017Danilo Gallinari,171,448
2017Channing Frye,11,22
2017Enes Freedom,89,171
2017Tim Frazier,19,54
2017Randy Foye,4,13
2017Evan Fournier,24,60
2017Bryn Forbes,0,0
2017Dorian Finney-Smith,6,7
2017Yogi Ferrell,4,16
2017Raymond Felton,13,45
2017Cristiano Felicio,37,62
2017Kay Felder,0,0
2017Derrick Favors,10,14
2017Jordan Farmar,1,1
2017Kenneth Faried,34,82
2017Dante Exum,47,163
2017Tyreke Evans,1,1
2017James Ennis III,4,4
2017Tyler Ennis,0,1
2017Joel Embiid,13,18
2017Monta Ellis,8,28
2017Wayne Ellington,0,1
2017Henry Ellenson,1,2
2017Jarell Eddie,3,14
2017Kevin Durant,130,400
2017Kris Dunn,2,3
2017Mike Dunleavy,0,0
2017Jared Dudley,13,20
2017Andre Drummond,135,200
2017Goran Dragic,153,461
2017Toney Douglas,0,0
2017Spencer Dinwiddie,44,130
2017Gorgui Dieng,17,21
2017Boris Diaw,33,53
2017Cheick Diallo,2,2
2017Luol Deng,10,29
2017Matthew Dellavedova,7,33
2017Malcolm Delaney,1,7
2017Sam Dekker,27,45
2017Dewayne Dedmon,48,57
2017DeMar DeRozan,29,62
2017Ed Davis,14,33
2017Deyonta Davis,2,3
2017Anthony Davis,103,191
2017Troy Daniels,0,0
2017Stephen Curry,203,680
2017Seth Curry,5,5
2017Dante Cunningham,17,44
2017Jae Crowder,19,38
2017Jordan Crawford,20,29
2017Jamal Crawford,4,17
2017Allen Crabbe,8,21
2017Robert Covington,29,66
2017DeMarcus Cousins,23,32
2017Quinn Cook,2,2
2017Pat Connaughton,1,2
2017Mike Conley,10,35
2017Nick Collison,1,1
2017Darren Collison,0,0
2017Norris Cole,0,0
2017Jordan Clarkson,26,64
2017Ian Clark,6,24
2017Semaj Christon,2,9
2017Rakeem Christmas,3,7
2017Marquese Chriss,55,97
2017Wilson Chandler,151,460
2017Tyson Chandler,37,46
2017Willie Cauley-Stein,45,53
2017Omri Casspi,0,0
2017Michael Carter-Williams,0,0
2017Vince Carter,9,20
2017DeMarre Carroll,16,29
2017Clint Capela,122,133
2017Isaiah Canaan,1,1
2017Kentavious Caldwell-Pope,30,55
2017Jose Calderon,15,28
2017Jimmy Butler,68,118
2017Alec Burks,7,21
2017Trey Burke,20,31
2017Reggie Bullock,0,0
2017Nicolas Brussino,0,1
2017Jaylen Brown,30,57
2017Bobby Brown,0,0
2017Anthony Brown,0,0
2017Aaron Brooks,7,10
2017Malcolm Brogdon,23,85
2017Corey Brewer,2,4
2017Avery Bradley,22,53
2017Trevor Booker,53,151
2017Devin Booker,23,83
2017Joel Bolomboy,0,0
2017Andrew Bogut,6,7
2017Bojan Bogdanovic,27,75
2017Eric Bledsoe,35,81
2017Tarik Black,26,31
2017Nemanja Bjelica,4,4
2017Bismack Biyombo,30,65
2017Patrick Beverley,0,1
2017Davis Bertans,8,13
2017Anthony Bennett,5,5
2017Dragan Bender,1,1
2017DeAndre' Bembry,4,6
2017Marco Belinelli,8,18
2017Michael Beasley,5,7
2017Malik Beasley,1,1
2017Bradley Beal,45,126
2017Kent Bazemore,96,306
2017Aron Baynes,22,23
2017Jerryd Bayless,0,0
2017Nicolas Batum,3,4
2017Brandon Bass,0,0
2017Will Barton,24,61
2017Matt Barnes,2,3
2017Harrison Barnes,35,62
2017Leandro Barbosa,6,9
2017Wade Baldwin IV,0,1
2017Ron Baker,0,6
2017Luke Babbitt,0,0
2017Omer Asik,9,11
2017Darrell Arthur,5,10
2017Trevor Ariza,21,43
2017Joel Anthony,2,4
2017Carmelo Anthony,38,91
2017Giannis Antetokounmpo,63,148
2017Ryan Anderson,1,1
2017Kyle Anderson,2,2
2017Justin Anderson,10,24
2017Alan Anderson,0,0
2017Chris Andersen,1,1
2017Al-Farouq Aminu,4,7
2017Tony Allen,46,138
2017Lavoy Allen,13,27
2017LaMarcus Aldridge,16,20
2017Cole Aldrich,5,5
2017Alexis Ajinca,14,24
2017Arron Afflalo,1,1
2017Steven Adams,61,120
2017Quincy Acy,3,14
2017Alex Abrines,5,14
2018Ivica Zubac,7,10
2018Ante Zizic,1,2
2018Paul Zipser,1,1
2018Zhou Qi,0,0
2018Tyler Zeller,15,20
2018Cody Zeller,1,2
2018Thaddeus Young,13,13
2018Nick Young,0,0
2018Joe Young,0,0
2018James Young,0,0
2018Guerschon Yabusele,0,0
2018Delon Wright,4,5
2018Brandan Wright,12,14
2018Jeff Withey,0,0
2018Justise Winslow,4,6
2018Jamil Wilson,0,0
2018Troy Williams,1,4
2018Marvin Williams,1,2
2018Lou Williams,41,85
2018Alan Williams,0,0
2018Damien Wilkins,0,0
2018Andrew Wiggins,16,30
2018Hassan Whiteside,63,70
2018Isaiah Whitehead,2,5
2018Andrew White III,0,0
2018Derrick White,0,0
2018Russell Westbrook,5,7
2018David West,16,19
2018Briante Weber,0,1
2018James Webb III,1,1
2018Travis Wear,1,1
2018Tyrone Wallace,2,4
2018John Wall,6,23
2018Kemba Walker,0,1
2018Dion Waiters,4,7
2018Dwyane Wade,8,8
2018Nikola Vucevic,10,15
2018Noah Vonleh,8,11
2018Rashad Vaughn,0,0
2018Fred VanVleet,2,3
2018Denzel Valentine,1,2
2018Jonas Valanciunas,29,30
2018Tyler Ulis,4,6
2018Ekpe Udoh,0,1
2018Myles Turner,20,23
2018Evan Turner,3,3
2018Karl-Anthony Towns,33,49
2018Anthony Tolliver,6,8
2018Sindarius Thornwell,1,2
2018Tristan Thompson,24,29
2018Klay Thompson,8,8
2018Lance Thomas,0,0
2018Isaiah Thomas,1,2
2018Daniel Theis,27,34
2018Jason Terry,2,3
2018Milos Teodosic,1,2
2018Garrett Temple,1,1
2018Mirza Teletovic,0,0
2018Marquis Teague,0,0
2018Jeff Teague,4,12
2018Isaiah Taylor,1,1
2018Jayson Tatum,18,30
2018Caleb Swanigan,0,1
2018Julyan Stone,0,0
2018Lance Stephenson,14,18
2018Nik Stauskas,0,1
2018Marreese Speights,0,0
2018Tony Snell,1,1
2018Jason Smith,0,2
2018JR Smith,2,2
2018Ish Smith,2,2
2018Marcus Smart,3,3
2018Kyle Singler,0,1
2018Kobi Simmons,0,1
2018Jonathon Simmons,8,13
2018Ben Simmons,49,57
2018Pascal Siakam,13,16
2018Iman Shumpert,0,0
2018Ramon Sessions,2,2
2018Wayne Selden,1,5
2018Thabo Sefolosha,1,2
2018Mike Scott,13,26
2018Dennis Schroder,0,0
2018Tomas Satoransky,4,9
2018Dario Saric,5,5
2018JaKarr Sampson,2,5
2018Domantas Sabonis,12,16
2018D'Angelo Russell,4,10
2018Ricky Rubio,0,0
2018Terry Rozier,3,10
2018Terrence Ross,2,3
2018Derrick Rose,0,0
2018Rajon Rondo,0,4
2018Glenn Robinson III,2,3
2018Andre Roberson,14,18
2018Austin Rivers,5,6
2018Malachi Richardson,0,0
2018Josh Richardson,3,4
2018Willie Reed,13,13
2018Davon Reed,1,2
2018JJ Redick,0,0
2018Xavier Rathan-Mayes,0,0
2018Zach Randolph,0,0
2018Julius Randle,28,31
2018Ivan Rabb,9,14
2018Rodney Purvis,0,0
2018Taurean Prince,4,5
2018Alex Poythress,0,0
2018Norman Powell,3,3
2018Dwight Powell,62,69
2018Kristaps Porzingis,33,39
2018Bobby Portis,8,11
2018Quincy Pondexter,1,1
2018Jakob Poeltl,10,11
2018Miles Plumlee,29,33
2018Mason Plumlee,59,69
2018Marshall Plumlee,0,2
2018Alec Peters,0,0
2018London Perrantes,0,0
2018Gary Payton II,0,2
2018Elfrid Payton,2,8
2018Cameron Payne,1,2
2018Adreian Payne,0,0
2018Chris Paul,0,0
2018Brandon Paul,1,3
2018Patrick Patterson,0,0
2018Chandler Parsons,1,2
2018Tony Parker,2,3
2018Jabari Parker,9,16
2018Georgios Papagiannis,1,1
2018Zaza Pachulia,4,4
2018Cedi Osman,0,0
2018Kelly Olynyk,7,11
2018Victor Oladipo,11,14
2018Jahlil Okafor,0,0
2018Emeka Okafor,1,1
2018Semi Ojeleye,1,2
2018Kyle O'Quinn,7,14
2018Royce O'Neale,2,4
2018Johnny O'Bryant III,7,13
2018David Nwaba,20,23
2018Jusuf Nurkic,25,25
2018Frank Ntilikina,2,3
2018Dirk Nowitzki,0,1
2018Lucas Nogueira,16,16
2018Nerlens Noel,12,17
2018Raul Neto,4,8
2018Nene,5,7
2018Jameer Nelson,2,4
2018Shabazz Napier,0,0
2018Abdel Nader,2,4
2018Mike Muscala,9,13
